date,open,high,low,close,volume
2012-05-28,2.551,2.607,2.544,2.604,12775188
2012-05-29,2.602,2.661,2.602,2.644,7149490
2012-05-30,2.642,2.647,2.633,2.636,2658872
2012-05-31,2.621,2.645,2.613,2.63,1781560
2012-06-01,2.629,2.66,2.62,2.63,1793500
2012-06-04,2.601,2.604,2.555,2.558,5460743
2012-06-05,2.562,2.572,2.556,2.561,1271675
2012-06-06,2.563,2.574,2.548,2.559,1369227
2012-06-07,2.578,2.583,2.536,2.543,3364240
2012-06-08,2.558,2.56,2.53,2.534,2101822
2012-06-11,2.543,2.577,2.536,2.564,2254556
2012-06-12,2.55,2.562,2.538,2.548,1577237
2012-06-13,2.56,2.588,2.55,2.585,1881336
2012-06-14,2.58,2.598,2.571,2.574,1525547
2012-06-15,2.582,2.594,2.557,2.584,1598353
2012-06-18,2.589,2.608,2.588,2.592,1321265
2012-06-19,2.59,2.59,2.572,2.573,1050117
2012-06-20,2.58,2.587,2.57,2.57,1192774
2012-06-21,2.563,2.564,2.517,2.53,1792242
2012-06-25,2.527,2.527,2.476,2.48,2314811
2012-06-26,2.472,2.485,2.462,2.48,1852289
2012-06-27,2.478,2.493,2.47,2.471,1513658
2012-06-28,2.48,2.486,2.455,2.457,1695740
2012-06-29,2.451,2.488,2.448,2.485,1972042
2012-07-02,2.495,2.495,2.476,2.485,1862223
2012-07-03,2.488,2.516,2.482,2.489,1469031
2012-07-04,2.494,2.504,2.484,2.489,1103364
2012-07-05,2.479,2.479,2.452,2.461,2087739
2012-07-06,2.466,2.512,2.452,2.501,1757978
2012-07-09,2.489,2.499,2.448,2.451,1648643
2012-07-10,2.449,2.453,2.438,2.441,2041960
2012-07-11,2.438,2.458,2.435,2.452,1692976
2012-07-12,2.446,2.487,2.437,2.474,2660444
2012-07-13,2.473,2.496,2.471,2.478,1778904
2012-07-16,2.481,2.482,2.437,2.438,2273611
2012-07-17,2.437,2.449,2.431,2.443,2585328
2012-07-18,2.441,2.451,2.406,2.443,3152959
2012-07-19,2.441,2.473,2.437,2.451,3380440
2012-07-20,2.445,2.451,2.427,2.433,2702978
2012-07-23,2.411,2.411,2.392,2.403,1856885
2012-07-24,2.397,2.423,2.395,2.408,2304237
2012-07-25,2.4,2.414,2.39,2.393,1389067
2012-07-26,2.395,2.407,2.38,2.382,2548960
2012-07-27,2.389,2.396,2.377,2.385,3724685
2012-07-30,2.389,2.399,2.372,2.377,2303206
2012-07-31,2.378,2.385,2.366,2.371,4214984
2012-08-01,2.372,2.401,2.372,2.389,2615556
2012-08-02,2.386,2.389,2.359,2.371,2087258
2012-08-03,2.375,2.386,2.368,2.385,1737366
2012-08-06,2.383,2.42,2.382,2.416,3144257
2012-08-07,2.415,2.421,2.412,2.419,2584404
2012-08-08,2.423,2.436,2.416,2.421,2329502
2012-08-09,2.422,2.448,2.412,2.445,2010004
2012-08-10,2.447,2.447,2.433,2.438,1118701
2012-08-13,2.431,2.431,2.389,2.392,2959366
2012-08-14,2.393,2.396,2.36,2.388,3226022
2012-08-15,2.383,2.383,2.364,2.366,1910110
2012-08-16,2.367,2.37,2.357,2.359,1228663
2012-08-17,2.359,2.36,2.335,2.349,1757265
2012-08-20,2.333,2.343,2.242,2.336,1705062
2012-08-21,2.336,2.367,2.333,2.345,2348894
2012-08-22,2.347,2.349,2.323,2.328,1298020
2012-08-23,2.333,2.348,2.322,2.339,1670546
2012-08-24,2.33,2.332,2.313,2.316,1584419
2012-08-27,2.305,2.305,2.267,2.268,3143233
2012-08-28,2.265,2.284,2.26,2.268,2176241
2012-08-29,2.262,2.274,2.25,2.253,2133282
2012-08-30,2.246,2.255,2.226,2.243,2326744
2012-08-31,2.24,2.251,2.238,2.243,2031862
2012-09-03,2.238,2.27,2.233,2.257,2388426
2012-09-04,2.261,2.267,2.232,2.233,2247647
2012-09-05,2.233,2.241,2.223,2.232,2181560
2012-09-06,2.235,2.254,2.232,2.254,1696508
2012-09-07,2.267,2.385,2.267,2.357,5589337
2012-09-10,2.36,2.37,2.353,2.365,2390915
2012-09-11,2.349,2.35,2.331,2.347,2863743
2012-09-12,2.365,2.378,2.334,2.359,2773827
2012-09-13,2.352,2.363,2.335,2.336,2056527
2012-09-14,2.354,2.37,2.335,2.352,3237676
2012-09-17,2.346,2.348,2.295,2.297,2706172
2012-09-18,2.282,2.287,2.262,2.269,2229306
2012-09-19,2.269,2.284,2.262,2.278,2784850
2012-09-20,2.273,2.273,2.226,2.229,4082695
2012-09-21,2.221,2.25,2.219,2.228,2770521
2012-09-24,2.214,2.263,2.204,2.248,3142902
2012-09-25,2.241,2.257,2.235,2.245,1721810
2012-09-26,2.243,2.252,2.218,2.221,1629607
2012-09-27,2.225,2.336,2.224,2.285,4791727
2012-09-28,2.271,2.339,2.265,2.338,5021110
2012-10-08,2.335,2.339,2.29,2.303,1904078
2012-10-09,2.315,2.368,2.315,2.356,3686399
2012-10-10,2.347,2.36,2.339,2.356,1927381
2012-10-11,2.348,2.356,2.335,2.34,2362346
2012-10-12,2.348,2.368,2.321,2.338,2837153
2012-10-15,2.344,2.344,2.315,2.33,1733320
2012-10-16,2.329,2.352,2.321,2.331,3033134
2012-10-17,2.343,2.348,2.317,2.34,2331500
2012-10-18,2.345,2.376,2.344,2.369,2827928
2012-10-19,2.366,2.375,2.363,2.369,1633136
2012-10-22,2.359,2.384,2.352,2.378,2331995
2012-10-23,2.377,2.379,2.349,2.351,2618563
2012-10-24,2.345,2.359,2.342,2.347,2154703
2012-10-25,2.347,2.357,2.327,2.328,2435807
2012-10-26,2.329,2.332,2.268,2.276,3059710
2012-10-29,2.272,2.279,2.258,2.265,2383105
2012-10-30,2.268,2.289,2.263,2.27,3304971
2012-10-31,2.272,2.288,2.265,2.286,2433535
2012-11-01,2.291,2.344,2.287,2.334,3381281
2012-11-02,2.334,2.343,2.318,2.339,2662090
2012-11-05,2.337,2.357,2.323,2.333,2417405
2012-11-06,2.338,2.34,2.291,2.324,3118479
2012-11-07,2.32,2.338,2.309,2.322,3100630
2012-11-08,2.307,2.31,2.279,2.28,3506991
2012-11-09,2.276,2.285,2.269,2.274,3025111
2012-11-12,2.276,2.289,2.264,2.282,3249623
2012-11-13,2.282,2.282,2.242,2.247,3892474
2012-11-14,2.25,2.256,2.243,2.253,3216384
2012-11-15,2.244,2.255,2.224,2.226,4147742
2012-11-16,2.223,2.224,2.196,2.205,4158327
2012-11-19,2.204,2.207,2.183,2.205,3386253
2012-11-20,2.211,2.215,2.195,2.199,3023697
2012-11-21,2.2,2.229,2.186,2.226,4892438
2012-11-22,2.212,2.217,2.2,2.213,2998818
2012-11-23,2.217,2.235,2.214,2.225,4164644
2012-11-26,2.221,2.222,2.203,2.211,3380704
2012-11-27,2.202,2.206,2.186,2.187,3698311
2012-11-28,2.182,2.182,2.16,2.163,3551281
2012-11-29,2.168,2.173,2.154,2.155,3790226
2012-11-30,2.15,2.172,2.147,2.165,4168374
2012-12-03,2.168,2.18,2.143,2.145,3061587
2012-12-04,2.14,2.166,2.138,2.162,3993001
2012-12-05,2.161,2.252,2.158,2.238,6195196
2012-12-06,2.239,2.246,2.226,2.235,4236821
2012-12-07,2.235,2.287,2.233,2.28,5774856
2012-12-10,2.293,2.307,2.285,2.301,4975709
2012-12-11,2.292,2.306,2.288,2.294,3256954
2012-12-12,2.296,2.306,2.286,2.299,4694800
2012-12-13,2.29,2.297,2.279,2.281,3332027
2012-12-14,2.279,2.4,2.279,2.396,5740476
2012-12-17,2.398,2.408,2.392,2.403,4750982
2012-12-18,2.37,2.407,2.35,2.366,4463114
2012-12-19,2.365,2.387,2.36,2.372,3245530
2012-12-20,2.364,2.398,2.352,2.388,4912790
2012-12-21,2.396,2.413,2.366,2.378,4193594
2012-12-24,2.377,2.398,2.372,2.38,5083168
2012-12-25,2.372,2.459,2.368,2.446,4771782
2012-12-26,2.442,2.455,2.441,2.453,3720030
2012-12-27,2.465,2.481,2.447,2.448,4017303
2012-12-28,2.455,2.486,2.448,2.484,5157085
2012-12-31,2.492,2.529,2.492,2.524,7702944
2013-01-04,2.554,2.56,2.499,2.53,5364708
2013-01-07,2.522,2.544,2.516,2.534,4148280
2013-01-08,2.533,2.539,2.503,2.523,4000972
2013-01-09,2.519,2.534,2.504,2.521,4399883
2013-01-10,2.522,2.553,2.51,2.527,4556251
2013-01-11,2.534,2.54,2.478,2.489,5847044
2013-01-14,2.489,2.588,2.482,2.577,7471833
2013-01-15,2.579,2.603,2.578,2.592,4902077
2013-01-16,2.591,2.596,2.536,2.573,4960657
2013-01-17,2.569,2.574,2.537,2.557,4390935
2013-01-18,2.573,2.61,2.552,2.595,4614400
2013-01-21,2.6,2.609,2.58,2.604,4112879
2013-01-22,2.599,2.616,2.577,2.6,7695142
2013-01-23,2.599,2.61,2.58,2.605,4179259
2013-01-24,2.605,2.666,2.568,2.588,7873514
2013-01-25,2.588,2.591,2.573,2.576,5722447
2013-01-28,2.583,2.647,2.583,2.646,5635544
2013-01-29,2.649,2.679,2.645,2.666,7826804
2013-01-30,2.673,2.683,2.661,2.681,5385049
2013-01-31,2.692,2.697,2.67,2.688,6927571
2013-02-01,2.679,2.745,2.671,2.74,5398153
2013-02-04,2.748,2.763,2.732,2.745,4247564
2013-02-05,2.732,2.78,2.73,2.765,7356517
2013-02-06,2.767,2.78,2.764,2.773,4626880
2013-02-07,2.77,2.773,2.725,2.76,6087426
2013-02-08,2.767,2.787,2.749,2.769,6296267
2013-02-18,2.775,2.778,2.722,2.728,6967875
2013-02-19,2.73,2.735,2.671,2.684,5411521
2013-02-20,2.685,2.697,2.668,2.696,4610177
2013-02-21,2.67,2.67,2.576,2.6,7321565
2013-02-22,2.603,2.611,2.587,2.592,4107547
2013-02-25,2.599,2.626,2.582,2.596,5475510
2013-02-26,2.58,2.625,2.553,2.558,7929724
2013-02-27,2.569,2.61,2.565,2.582,4683231
2013-02-28,2.606,2.673,2.59,2.669,6133326
2013-03-01,2.669,2.677,2.619,2.666,4276796
2013-03-04,2.632,2.634,2.527,2.54,7400084
2013-03-05,2.545,2.616,2.541,2.613,5414035
2013-03-06,2.631,2.658,2.614,2.641,5958096
2013-03-07,2.63,2.65,2.584,2.609,7909465
2013-03-08,2.625,2.629,2.598,2.605,5495201
2013-03-11,2.587,2.607,2.567,2.587,3553997
2013-03-12,2.587,2.615,2.525,2.55,5303136
2013-03-13,2.546,2.549,2.509,2.522,4421042
2013-03-14,2.509,2.542,2.505,2.527,4439763
2013-03-15,2.533,2.604,2.5,2.529,5027988
2013-03-18,2.522,2.544,2.5,2.502,4252109
2013-03-19,2.506,2.532,2.49,2.524,4337150
2013-03-20,2.525,2.603,2.525,2.601,5888569
2013-03-21,2.607,2.622,2.596,2.608,3606871
2013-03-22,2.609,2.624,2.598,2.615,3630828
2013-03-25,2.625,2.638,2.6,2.611,3428520
2013-03-26,2.598,2.603,2.545,2.568,5746422
2013-03-27,2.57,2.609,2.559,2.574,4445452
2013-03-28,2.537,2.537,2.49,2.494,4066694
2013-03-29,2.502,2.507,2.48,2.487,3232432
2013-04-01,2.478,2.505,2.477,2.483,3309091
2013-04-02,2.489,2.523,2.47,2.487,3725639
2013-04-03,2.495,2.509,2.472,2.482,3168156
2013-04-08,2.45,2.474,2.433,2.47,3319436
2013-04-09,2.477,2.509,2.477,2.485,4870229
2013-04-10,2.485,2.491,2.469,2.485,2322471
2013-04-11,2.508,2.512,2.473,2.474,2170251
2013-04-12,2.476,2.485,2.463,2.466,2090345
